1, 0.028, 35.34
2, 0.058, 23.26
3, 0.117, 14.73
4, 0.083, 13.89
5, 0.083, 13.48
6, 0.069, 13.63
7, 0.075, 13.58
8, 0.091, 13.20
9, 0.096, 12.82
10, 0.082, 12.74
11, 0.062, 12.98
12, 0.103, 12.63
13, 0.091, 12.48
14, 0.065, 12.63
15, 0.082, 12.60
16, 0.068, 12.71
17, 0.072, 12.77
18, 0.084, 12.71
19, 0.065, 12.82
20, 0.102, 12.62
21, 0.043, 12.88
22, 0.055, 13.05
23, 0.069, 13.11
24, 0.091, 13.00
25, 0.079, 12.98
26, 0.120, 12.71
27, 0.102, 12.56
28, 0.077, 12.57
29, 0.096, 12.48
30, 0.080, 12.48
31, 0.076, 12.49
32, 0.075, 12.52
33, 0.071, 12.56
34, 0.070, 12.59
35, 0.059, 12.68
36, 0.067, 12.73
37, 0.056, 12.83
38, 0.074, 12.85
39, 0.061, 12.91
40, 0.068, 12.95
41, 0.050, 13.06
42, 0.070, 13.09
43, 0.116, 12.93
44, 0.030, 13.11
45, 0.118, 12.95
46, 0.082, 12.92
47, 0.073, 12.94
48, 0.091, 12.89
49, 0.073, 12.89
50, 0.107, 12.77
51, 0.098, 12.71
52, 0.078, 12.71
53, 0.046, 12.81
54, 0.061, 12.85
55, 0.071, 12.87
56, 0.074, 12.87
57, 0.099, 12.81
58, 0.100, 12.75
59, 0.084, 12.73
60, 0.070, 12.75
61, 0.104, 12.68
62, 0.080, 12.68
63, 0.105, 12.61
64, 0.084, 12.60
65, 0.082, 12.59
66, 0.083, 12.58
67, 0.074, 12.59
68, 0.090, 12.56
69, 0.107, 12.50
70, 0.043, 12.55
71, 0.069, 12.58
72, 0.081, 12.57
73, 0.059, 12.61
74, 0.085, 12.60
75, 0.118, 12.52
76, 0.053, 12.57
77, 0.077, 12.58
78, 0.090, 12.55
79, 0.071, 12.57
80, 0.052, 12.62
81, 0.057, 12.67
82, 0.124, 12.58
83, 0.072, 12.59
84, 0.058, 12.63
85, 0.101, 12.58
86, 0.087, 12.55
87, 0.082, 12.55
88, 0.096, 12.51
89, 0.077, 12.52
90, 0.083, 12.51
91, 0.072, 12.52
92, 0.130, 12.43
93, 0.073, 12.44
94, 0.047, 12.50
95, 0.066, 12.51
96, 0.075, 12.52
97, 0.081, 12.52
98, 0.134, 12.42
99, 0.076, 12.41
100, 0.083, 12.41
101, 0.104, 12.37
102, 0.081, 12.37
103, 0.085, 12.36
104, 0.070, 12.38
105, 0.072, 12.38
106, 0.099, 12.35
107, 0.086, 12.34
108, 0.088, 12.33
109, 0.087, 12.32
110, 0.086, 12.31
111, 0.070, 12.33
112, 0.082, 12.33
113, 0.085, 12.32
